Ángel Correa,ARG,"FW,MF",29-058,28,10,1278,14.2,9,2,11,8,1,1,3,0,7.5,6.7,2.8,9.5,35,55,112,0.63,0.14,0.77,0.56,0.7,0.53,0.2,0.73,0.47,0.67,2024,Atletico Madrid
Memphis,NED,FW,30-083,20,9,842,9.4,5,1,6,5,0,0,2,0,5.7,5.7,1.8,7.4,16,25,75,0.53,0.11,0.64,0.53,0.64,0.6,0.19,0.8,0.6,0.8,2024,Atletico Madrid
Reinildo Mandava,MOZ,DF,30-106,12,7,673,7.5,1,1,2,1,0,0,1,0,0.4,0.4,0.6,0.9,10,34,13,0.13,0.13,0.27,0.13,0.27,0.05,0.08,0.12,0.05,0.12,2024,Atletico Madrid
Gabriel Paulista,BRA,DF,33-162,4,4,360,4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,7,0,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,2024,Atletico Madrid
Yannick Carrasco,BEL,DF,30-245,3,3,221,2.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,9,6,17,0,0.41,0.41,0,0.41,0.03,0.1,0.12,0.03,0.12,2024,Atletico Madrid
Thomas Lemar,FRA,MF,28-176,3,3,164,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,5,13,9,0,0,0,0,0,0.09,0.01,0.1,0.09,0.1,2024,Atletico Madrid
Çağlar Söyüncü,TUR,DF,27-349,6,1,114,1.3,0,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2024,Atletico Madrid
Arthur Vermeeren,BEL,MF,19-089,3,1,85,0.9,0,0,0,0,0,0,1,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,2024,Atletico Madrid
Javi Galán,ESP,DF,29-169,5,0,88,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,4,13,0,0,0,0,0,0,0.06,0.06,0,0.06,2024,Atletico Madrid
Salim El Jebari,MAR,MF,20-091,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2024,Atletico Madrid
Abdellah Raihani,MAR,FW,20-093,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,Atletico Madrid
Rayane Belaid,ESP,DF,19-085,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
João Félix,POR,"FW,MF",24-178,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
Aitor Gismera,ESP,MF,20-075,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
Antonio Gomis,ESP,GK,20-352,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
Ivo Grbić,CRO,GK,28-109,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
Ilias Kostis,GRE,DF,21-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
Sergio Mestre,ESP,GK,19-083,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
Horaţiu Moldovan,ROU,GK,26-107,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
Marco Moreno,ESP,DF,23-076,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
Adrian Niño,ESP,FW,19-322,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Atletico Madrid
Squad Total,,,29.9,33,374,3060,34,61,42,103,56,5,6,78,4,56.1,51.5,42,93.5,677,1436,1419,1.79,1.24,3.03,1.65,2.88,1.65,1.23,2.88,1.51,2.75,2024,Atletico Madrid
Opponent Total,,,27.7,33,374,3060,34,39,30,69,38,1,2,69,2,36,34.4,27.5,61.9,586,1386,1366,1.15,0.88,2.03,1.12,2,1.06,0.81,1.87,1.01,1.82,2024,Atletico Madrid
Unai Simón,ESP,GK,26-330,33,33,2970,33,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,Athletic Club
Iñaki Williams,GHA,FW,29-326,31,30,2644,29.4,11,3,14,11,0,0,4,0,8.8,8.8,5.8,14.6,107,71,304,0.37,0.1,0.48,0.37,0.48,0.3,0.2,0.5,0.3,0.5,2024,Athletic Club
Gorka Guruzeta,ESP,FW,27-237,32,30,2217,24.6,14,5,19,14,0,1,2,0,11.6,10.8,2.4,13.2,18,55,102,0.57,0.2,0.77,0.57,0.77,0.47,0.1,0.57,0.44,0.54,2024,Athletic Club
Daniel Vivian,ESP,DF,24-296,30,29,2653,29.5,0,0,0,0,0,0,6,0,0.5,0.5,0.7,1.2,19,111,4,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,2024,Athletic Club
Aitor Paredes,ESP,DF,24-007,32,29,2524,28,1,0,1,1,0,0,9,1,1.2,1.2,0.2,1.4,6,103,1,0.04,0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,2024,Athletic Club
Nico Williams,ESP,FW,21-299,28,26,2024,22.5,4,10,14,4,0,0,6,1,4.9,4.9,5.1,10,124,58,272,0.18,0.44,0.62,0.18,0.62,0.22,0.23,0.44,0.22,0.44,2024,Athletic Club
Oihan Sancet,ESP,MF,24-011,30,25,1975,21.9,4,5,9,4,0,1,5,2,6.3,5.5,4.7,10.2,76,121,157,0.18,0.23,0.41,0.18,0.41,0.29,0.21,0.5,0.25,0.47,2024,Athletic Club
Óscar de Marcos,ESP,DF,35-022,26,24,2078,23.1,1,4,5,1,0,0,5,0,0.6,0.6,2.9,3.5,43,130,105,0.04,0.17,0.22,0.04,0.22,0.03,0.12,0.15,0.03,0.15,2024,Athletic Club
