id,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season,Team
14,Álex Centelles,es ESP,DF,26-180,11,9,798.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.3,1.3,12.0,22.0,36.0,0.0,0.11,0.11,0.0,0.11,0.0,0.15,0.15,0.0,0.15,Matches,2024,Almeria
15,Jonathan Viera,es ESP,MF,34-198,9,9,672.0,7.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.9,0.9,2.3,3.2,23.0,46.0,16.0,0.0,0.27,0.27,0.0,0.27,0.12,0.3,0.43,0.12,0.43,Matches,2024,Almeria
16,Alejandro Pozo Pozo,es ESP,"DF,MF",25-074,18,8,864.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.6,1.0,20.0,42.0,58.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches,2024,Almeria
17,Luis Javier Suárez,co COL,"FW,MF",26-156,11,8,734.0,8.2,4.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,5.5,4.7,0.4,5.1,26.0,14.0,40.0,0.49,0.0,0.49,0.37,0.37,0.67,0.04,0.72,0.58,0.62,Matches,2024,Almeria
18,Anthony Lozano,hn HON,FW,31-011,10,8,624.0,6.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.9,2.9,0.4,3.3,9.0,11.0,22.0,0.43,0.0,0.43,0.43,0.43,0.42,0.06,0.48,0.42,0.48,Matches,2024,Almeria
19,Aleksandar Radovanović,rs SRB,DF,30-177,7,7,494.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2024,Almeria
20,Bruno Langa,mz MOZ,DF,26-188,8,6,550.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.2,0.3,8.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,2024,Almeria
21,Kaiky,br BRA,DF,20-115,8,5,523.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.3,4.0,24.0,1.0,0.17,0.0,0.17,0.17,0.17,0.04,0.0,0.04,0.04,0.04,Matches,2024,Almeria
22,Houboulang Mendes,gw GNB,DF,26-002,7,4,396.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2024,Almeria
23,Luka Romero,ar ARG,FW,19-170,9,4,309.0,3.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,7.0,10.0,15.0,0.58,0.0,0.58,0.58,0.58,0.12,0.02,0.14,0.12,0.14,Matches,2024,Almeria
24,Arnau Puigmal,es ESP,"FW,DF",23-117,11,3,255.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,4.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2024,Almeria
25,Marko Milovanović,rs SRB,"FW,MF",20-276,11,2,308.0,3.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.1,1.6,2.0,3.0,13.0,0.29,0.0,0.29,0.29,0.29,0.45,0.03,0.47,0.45,0.47,Matches,2024,Almeria
26,Lázaro,br BRA,"FW,MF",22-055,14,2,285.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.5,1.4,5.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.28,0.17,0.45,0.28,0.45,Matches,2024,Almeria
27,Ibrahima Koné,ml MLI,FW,24-325,8,2,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.16,0.12,0.16,Matches,2024,Almeria
28,Marcos Peña,es ESP,MF,19-105,5,2,261.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07,Matches,2024,Almeria
29,Fernando,es ESP,GK,33-331,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,Almeria
30,Srđan Babić,rs SRB,DF,28-014,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2024,Almeria
31,Diego Mariño,es ESP,GK,33-363,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,Almeria
32,Marciano Sanca,gw GNB,"FW,MF",20-064,6,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.17,0.06,0.17,Matches,2024,Almeria
33,Rachad Fettal,ma MAR,FW,19-111,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.41,0.12,0.53,0.41,0.53,Matches,2024,Almeria
34,Arvin Appiah,eng ENG,"FW,MF",23-122,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Almeria
35,Gui Guedes,pt POR,MF,22-019,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Almeria
36,Bruno Iribarne,es ESP,GK,19-262,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Almeria
37,Paco Sanz,es ESP,DF,19-173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Almeria
38,Martin Šviderský,sk SVK,MF,21-215,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Almeria
39,Squad Total,,,26.3,33,374,3060.0,34.0,33.0,21.0,54.0,31.0,2.0,2.0,86.0,6.0,43.3,41.8,31.4,73.2,513.0,976.0,962.0,0.97,0.62,1.59,0.91,1.53,1.27,0.92,2.2,1.23,2.15,,2024,Almeria
40,Opponent Total,,,27.9,33,374,3060.0,34.0,67.0,49.0,116.0,61.0,6.0,9.0,67.0,4.0,55.8,48.8,40.5,89.3,657.0,1442.0,1420.0,1.97,1.44,3.41,1.79,3.24,1.64,1.19,2.83,1.43,2.63,,2024,Almeria
0,Marc-André ter Stegen,de GER,GK,30.0,38,38,3347.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2023,Barcelona
1,Robert Lewandowski,pl POL,FW,33.0,34,33,2847.0,31.6,23.0,7.0,30.0,23.0,0.0,1.0,4.0,1.0,24.3,23.5,6.3,29.8,52.0,100.0,248.0,0.73,0.22,0.95,0.73,0.95,0.77,0.2,0.97,0.74,0.94,Matches,2023,Barcelona
2,Gavi,es ESP,"MF,FW",17.0,36,30,2531.0,28.1,2.0,4.0,6.0,2.0,0.0,0.0,10.0,0.0,3.2,3.2,3.7,6.9,49.0,134.0,153.0,0.07,0.14,0.21,0.07,0.21,0.11,0.13,0.24,0.11,0.24,Matches,2023,Barcelona
3,Alejandro Balde,es ESP,DF,18.0,33,30,2471.0,27.5,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,1.9,1.9,4.9,6.8,96.0,79.0,234.0,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,Matches,2023,Barcelona
4,Frenkie de Jong,nl NED,MF,25.0,33,29,2534.0,28.2,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,2.4,2.4,4.3,6.7,92.0,279.0,83.0,0.07,0.14,0.21,0.07,0.21,0.09,0.15,0.24,0.09,0.24,Matches,2023,Barcelona
5,Jules Koundé,fr FRA,DF,23.0,29,28,2426.0,27.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,2.8,3.9,58.0,185.0,61.0,0.04,0.11,0.15,0.04,0.15,0.04,0.1,0.15,0.04,0.15,Matches,2023,Barcelona
6,Sergio Busquets,es ESP,MF,34.0,30,28,2339.0,26.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,1.0,0.4,0.4,2.8,3.3,26.0,254.0,32.0,0.0,0.15,0.15,0.0,0.15,0.02,0.11,0.13,0.02,0.13,Matches,2023,Barcelona
7,Raphinha,br BRA,FW,25.0,36,25,2072.0,23.0,7.0,7.0,14.0,7.0,0.0,0.0,9.0,0.0,9.3,9.3,9.8,19.1,97.0,104.0,339.0,0.3,0.3,0.61,0.3,0.61,0.41,0.43,0.83,0.41,0.83,Matches,2023,Barcelona
8,Pedri,es ESP,MF,19.0,26,22,1976.0,22.0,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,4.9,4.9,5.0,9.9,67.0,184.0,99.0,0.27,0.05,0.32,0.27,0.32,0.22,0.23,0.45,0.22,0.45,Matches,2023,Barcelona
9,Andreas Christensen,dk DEN,DF,26.0,23,22,1760.0,19.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.5,1.5,18.0,91.0,5.0,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08,Matches,2023,Barcelona
10,Ronald Araújo,uy URU,DF,23.0,22,21,1800.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,2.1,2.1,0.8,2.9,29.0,79.0,11.0,0.0,0.1,0.1,0.0,0.1,0.1,0.04,0.15,0.1,0.15,Matches,2023,Barcelona
11,Ousmane Dembélé,fr FRA,FW,25.0,25,16,1410.0,15.7,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,3.9,3.9,4.9,8.8,124.0,74.0,209.0,0.32,0.45,0.77,0.32,0.77,0.25,0.31,0.56,0.25,0.56,Matches,2023,Barcelona
12,Eric García,es ESP,"DF,MF",21.0,24,15,1417.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.2,1.8,25.0,105.0,6.0,0.06,0.0,0.06,0.06,0.06,0.1,0.02,0.11,0.1,0.11,Matches,2023,Barcelona
13,Sergi Roberto,es ESP,"DF,MF",30.0,23,15,1308.0,14.5,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,2.4,2.4,0.9,3.3,47.0,97.0,72.0,0.28,0.07,0.34,0.28,0.34,0.17,0.06,0.23,0.17,0.23,Matches,2023,Barcelona
14,Jordi Alba,es ESP,DF,33.0,24,14,1419.0,15.8,2.0,3.0,5.0,2.0,0.0,0.0,6.0,1.0,0.8,0.8,6.2,7.0,42.0,141.0,157.0,0.13,0.19,0.32,0.13,0.32,0.05,0.4,0.44,0.05,0.44,Matches,2023,Barcelona
15,Ferrán Torres,es ESP,"FW,MF",22.0,33,14,1392.0,15.5,4.0,2.0,6.0,4.0,0.0,1.0,5.0,1.0,4.9,4.1,4.1,8.2,43.0,44.0,180.0,0.26,0.13,0.39,0.26,0.39,0.32,0.26,0.58,0.27,0.53,Matches,2023,Barcelona
16,Ansu Fati,es ESP,FW,19.0,36,12,1393.0,15.5,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.1,9.1,1.7,10.7,47.0,48.0,178.0,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69,Matches,2023,Barcelona
17,Marcos Alonso,es ESP,DF,31.0,24,11,1172.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.3,1.2,26.0,71.0,12.0,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09,Matches,2023,Barcelona
18,Franck Kessié,ci CIV,MF,25.0,28,7,990.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,0.7,2.5,14.0,39.0,43.0,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23,Matches,2023,Barcelona
19,Gerard Piqué,es ESP,DF,35.0,6,4,384.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,0.0,0.4,3.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.09,0.09,0.09,Matches,2023,Barcelona
20,Memphis,nl NED,FW,28.0,2,2,114.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,2.0,7.0,19.0,0.79,0.0,0.79,0.79,0.79,0.68,0.11,0.79,0.68,0.79,Matches,2023,Barcelona
21,Pablo Torre,es ESP,"FW,MF",19.0,8,1,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,4.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,0.31,0.02,0.31,Matches,2023,Barcelona
22,Héctor Bellerín,es ESP,DF,27.0,3,1,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2023,Barcelona
23,Iñaki Peña,es ESP,GK,23.0,2,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,Barcelona
24,Ángel Alarcón,es ESP,FW,18.0,4,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2023,Barcelona
25,Pierre-Emerick Aubameyang,ga GAB,FW,33.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,1.18,1.18,1.18,Matches,2023,Barcelona
26,Lamine Yamal,es ESP,FW,15.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,3.94,3.94,3.94,Matches,2023,Barcelona
27,Aleix Garrido,es ESP,FW,18.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,Barcelona
28,Chadi Riad,ma MAR,MF,19.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,Barcelona
29,Arnau Tenas,es ESP,GK,21.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,Matches,2023,Barcelona
30,Ander Astralaga,es ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Barcelona
31,Marc Casado,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Barcelona
32,Estanis,es ESP,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Barcelona
33,Marc Guiu,es ESP,FW,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Barcelona
34,Unai Hernandez,es ESP,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Barcelona
35,Miralem Pjanić,ba BIH,MF,32.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Barcelona
36,Pau Prim,es ESP,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Barcelona
37,Daniel Rodriguez,es ESP,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Barcelona
38,Squad Total,,,25.9,38,418,3420.0,38.0,69.0,56.0,125.0,69.0,0.0,2.0,83.0,6.0,75.5,74.0,60.1,134.1,963.0,2180.0,2166.0,1.82,1.47,3.29,1.82,3.29,1.99,1.58,3.57,1.95,3.53,,2023,Barcelona
39,Opponent Total,,,27.4,38,418,3420.0,38.0,17.0,10.0,27.0,14.0,3.0,3.0,93.0,8.0,33.2,30.8,23.0,53.9,474.0,955.0,952.0,0.45,0.26,0.71,0.37,0.63,0.87,0.61,1.48,0.81,1.42,,2023,Barcelona
0,Vinicius Júnior,br BRA,FW,22.0,33,32,2823.0,31.4,10.0,9.0,19.0,10.0,0.0,0.0,10.0,1.0,10.5,10.5,9.4,19.9,221.0,87.0,495.0,0.32,0.29,0.61,0.32,0.61,0.34,0.3,0.63,0.34,0.63,Matches,2023,Real Madrid
1,Thibaut Courtois,be BEL,GK,30.0,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2023,Real Madrid
2,Éder Militão,br BRA,DF,24.0,33,30,2703.0,30.0,5.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,2.4,2.4,0.6,2.9,28.0,98.0,16.0,0.17,0.0,0.17,0.17,0.17,0.08,0.02,0.1,0.08,0.1,Matches,2023,Real Madrid
3,Federico Valverde,uy URU,"MF,FW",24.0,34,29,2502.0,27.8,7.0,4.0,11.0,7.0,0.0,0.0,2.0,0.0,4.3,4.3,6.3,10.6,70.0,151.0,135.0,0.25,0.14,0.4,0.25,0.4,0.15,0.23,0.38,0.15,0.38,Matches,2023,Real Madrid
4,Antonio Rüdiger,de GER,DF,29.0,33,26,2415.0,26.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.1,1.9,21.0,59.0,10.0,0.04,0.0,0.04,0.04,0.04,0.07,0.0,0.07,0.07,0.07,Matches,2023,Real Madrid
5,Rodrygo,br BRA,"FW,MF",21.0,34,25,2379.0,26.4,9.0,8.0,17.0,8.0,1.0,1.0,4.0,0.0,13.7,12.9,7.0,19.9,146.0,81.0,268.0,0.34,0.3,0.64,0.3,0.61,0.52,0.26,0.78,0.49,0.75,Matches,2023,Real Madrid
6,Toni Kroos,de GER,MF,32.0,30,25,2155.0,23.9,2.0,4.0,6.0,2.0,0.0,0.0,2.0,1.0,1.4,1.4,4.4,5.9,51.0,319.0,38.0,0.08,0.17,0.25,0.08,0.25,0.06,0.19,0.24,0.06,0.24,Matches,2023,Real Madrid
7,Aurélien Tchouaméni,fr FRA,MF,22.0,33,24,2119.0,23.5,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.8,1.8,2.2,4.0,41.0,142.0,23.0,0.0,0.17,0.17,0.0,0.17,0.08,0.09,0.17,0.08,0.17,Matches,2023,Real Madrid
8,Karim Benzema,fr FRA,FW,34.0,24,24,2038.0,22.6,19.0,3.0,22.0,12.0,7.0,8.0,1.0,0.0,21.5,14.9,5.8,20.7,72.0,138.0,157.0,0.84,0.13,0.97,0.53,0.66,0.95,0.26,1.2,0.66,0.91,Matches,2023,Real Madrid
9,Eduardo Camavinga,fr FRA,"MF,DF",19.0,37,21,2010.0,22.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.8,0.8,1.5,2.3,69.0,165.0,99.0,0.0,0.04,0.04,0.0,0.04,0.04,0.07,0.1,0.04,0.1,Matches,2023,Real Madrid
10,David Alaba,at AUT,DF,30.0,23,21,1838.0,20.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.1,1.9,16.0,67.0,60.0,0.05,0.15,0.2,0.05,0.2,0.04,0.05,0.09,0.04,0.09,Matches,2023,Real Madrid
11,Dani Carvajal,es ESP,DF,30.0,27,20,1784.0,19.8,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.8,0.8,2.0,2.8,22.0,58.0,147.0,0.0,0.1,0.1,0.0,0.1,0.04,0.1,0.14,0.04,0.14,Matches,2023,Real Madrid
12,Luka Modrić,hr CRO,MF,36.0,33,19,1744.0,19.4,4.0,3.0,7.0,3.0,1.0,1.0,7.0,0.0,4.2,3.4,4.5,8.0,50.0,182.0,87.0,0.21,0.15,0.36,0.15,0.31,0.22,0.23,0.45,0.18,0.41,Matches,2023,Real Madrid
13,Dani Ceballos,es ESP,MF,25.0,30,19,1564.0,17.4,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,0.9,0.9,2.1,3.0,60.0,204.0,60.0,0.0,0.23,0.23,0.0,0.23,0.05,0.12,0.17,0.05,0.17,Matches,2023,Real Madrid
14,Nacho,es ESP,DF,32.0,27,18,1637.0,18.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,0.9,1.7,18.0,75.0,34.0,0.05,0.05,0.11,0.05,0.11,0.04,0.05,0.09,0.04,0.09,Matches,2023,Real Madrid
15,Ferland Mendy,fr FRA,DF,27.0,18,17,1351.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,23.0,56.0,73.0,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06,Matches,2023,Real Madrid
16,Marco Asensio,es ESP,"FW,MF",26.0,31,15,1442.0,16.0,9.0,6.0,15.0,9.0,0.0,1.0,1.0,0.0,6.3,5.5,4.9,10.4,56.0,70.0,108.0,0.56,0.37,0.94,0.56,0.94,0.39,0.3,0.7,0.35,0.65,Matches,2023,Real Madrid
17,Lucas Vázquez,es ESP,DF,31.0,23,12,1144.0,12.7,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.9,1.9,1.6,3.5,31.0,50.0,145.0,0.31,0.08,0.39,0.31,0.39,0.15,0.13,0.28,0.15,0.28,Matches,2023,Real Madrid
18,Andriy Lunin,ua UKR,GK,23.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,Real Madrid
19,Eden Hazard,be BEL,FW,31.0,6,2,196.0,2.2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.5,0.7,6.0,8.0,25.0,0.0,0.46,0.46,0.0,0.46,0.45,0.23,0.67,0.08,0.31,Matches,2023,Real Madrid
20,Mariano,do DOM,FW,28.0,9,1,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.4,1.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.32,0.25,0.57,0.32,0.57,Matches,2023,Real Madrid
21,Álvaro Muñoz,uy URU,FW,18.0,6,0,79.0,0.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.0,1.0,3.0,1.14,1.14,2.28,1.14,2.28,0.28,0.33,0.6,0.28,0.6,Matches,2023,Real Madrid
22,Álvaro Odriozola,es ESP,DF,26.0,3,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.56,0.66,1.22,0.56,1.22,Matches,2023,Real Madrid
23,Jesús Vallejo,es ESP,DF,25.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,1.29,1.29,Matches,2023,Real Madrid
24,Sergio Arribas,es ESP,"MF,FW",20.0,2,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.14,0.88,0.74,0.88,Matches,2023,Real Madrid
25,Casemiro,br BRA,MF,30.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,Real Madrid
26,Lucas Cañizares,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Real Madrid
27,Carlos Dotor,es ESP,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Real Madrid
28,Fran González,es ESP,DF,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Real Madrid
29,Luis López,es ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Real Madrid
30,Mario de Luis,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Real Madrid
31,Mario Martín,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Real Madrid
32,Nicolás Paz,ar ARG,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Real Madrid
33,Diego Piñeiro,es ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,Real Madrid
34,Squad Total,,,27.4,38,418,3420.0,38.0,73.0,56.0,129.0,64.0,9.0,12.0,72.0,3.0,75.5,66.1,56.8,122.9,1008.0,2017.0,2000.0,1.92,1.47,3.39,1.68,3.16,1.99,1.49,3.48,1.74,3.23,,2023,Real Madrid
35,Opponent Total,,,27.3,38,418,3420.0,38.0,35.0,21.0,56.0,31.0,4.0,5.0,97.0,7.0,38.9,35.0,27.8,62.8,631.0,1189.0,1178.0,0.92,0.55,1.47,0.82,1.37,1.02,0.73,1.76,0.92,1.65,,2023,Real Madrid
0,Nahuel Molina,ar ARG,DF,24.0,33,33,2867.0,31.9,4.0,2.0,6.0,4.0,0.0,0.0,7.0,1.0,2.6,2.6,3.9,6.5,73.0,112.0,249.0,0.13,0.06,0.19,0.13,0.19,0.08,0.12,0.2,0.08,0.2,Matches,2023,Atletico Madrid
1,Antoine Griezmann,fr FRA,"FW,MF",31.0,38,31,2859.0,31.8,15.0,16.0,31.0,15.0,0.0,0.0,2.0,0.0,12.3,12.3,13.8,26.1,99.0,171.0,202.0,0.47,0.5,0.98,0.47,0.98,0.39,0.44,0.82,0.39,0.82,Matches,2023,Atletico Madrid
